anuncio_data;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
09/02/2025;Rodovias do Tietê;Botucatu;RA Sorocaba;Expansão e modernização rodovia do Complexo Botucatu, entre as rodovias Marechal Rondon (SP-300) e Professor João Hipólito Martins (SP-209), a Castelinho;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
06/02/2025;Metrô;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Desenvolvimento projeto da Linha 20-Rosa, que terá 33 quilômetros de extensão e ligará as cidades de Santo André e São Bernardo do Campo, na Grande São Paulo, à zona oeste da capital;Infraestrutura;Transporte terrestre
04/02/2025;Concessionária Linha Universidade;São Paulo;RM São Paulo;Construção Linha 6 - Laranja, do metrô, ligando a zona oeste ao centro (Brasilândia a São Joaquim) (complemento da ficha 5634 ) ;Infraestrutura;Transporte terrestre
01/02/2025;SJK Airport;São José dos Campos;RA São José dos Campos;Implantação vertiporto experimental para carros voadores onde será instalada na área de teste de motores;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
31/01/2025;Usiquímica;Diadema;RM São Paulo;Investirá unidade fabril de Diadema na modernização e expansão da nova operação na compra da YPF no Brasil;Infraestrutura;Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis
30/01/2025;ViaRondon;Birigui;RA Araçatuba;Construção vias marginais da Rodovia Marechal Rondon (SP-300), , paralelas da pista expressa da rodovia;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
29/01/2025;Arteris ViaPaulista;Franca;RA Franca;Revitalização passarela receberão readequações para melhorar a circulação e acessibilidade;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
28/01/2025;Vero;São Paulo;RM São Paulo;Desenvolvimento projetos  da empresa  provedora de internet e o aprimoramento do uso de Inteligência Artificial (IA);Infraestrutura;Telecomunicações
27/01/2025;CPTM;São Paulo;RM São Paulo;Inauguração Estação  Varginha  faz parte, com a revitalização da Estação João Dias e da Estação Bruno Covas-Mendes/Vila Natal, de  na extensão da Linha 9 - Esmeralda;Infraestrutura;Transporte terrestre
26/01/2025;Aeroporto Internacional de Viracopos;Campinas;RA Campinas;Instalação terminal de Carga Expresso (TECEX) iniciou operações com uma área exclusiva para recepção de mercadorias destinadas ao comércio eletrônico;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
25/01/2025;CCR RioSP;São José dos Campos;RA São José dos Campos;Ampliação capacidade da rodovia de aumentar a segurança em trechos movimentados de São José dos Campos, e fazem parte do cronograma de melhorias da Via Dutra;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
23/01/2025;Elektro;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Implantação projeto  Vale Luz, a iniciativa promove recolhimento de vidros, plásticos ou metais em pontos espalhados pelas cidades;Infraestrutura;Eletricidade, gás e outras utilidades
23/01/2025;Usina Santa Cruz;Américo Brasiliense;RA Central;Construção usina do biodigestor (lagoas), equipamentos de purificação e dessulfurizarão do biogás em Biometano, e investimentos em compressão e interligação com a rede de distribuição.na Zona Rura (complemento da ficha 7428) ;Infraestrutura;Eletricidade, gás e outras utilidades
21/01/2025;Aeroporto Internacional de Viracopos;Campinas;RA Campinas;Instalação Sistema  biométrico em voos nacionais e internacionais com 11 equipamentos biométricos automatizados, chamados de e-Gates;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
15/01/2025;CPFL Santa Cruz;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Expansão e modernização rede de distribuição, com foco na qualidade do fornecimento entre 2025 e 2029;Infraestrutura;Eletricidade, gás e outras utilidades
08/01/2025;CPFL Paulista;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Construção unidades  e ampliação  de 17 subestações e linhas de distribuição, incluindo as de São José do Rio Preto e Araçatuba ao todo, quase 300 obras foram realizadas na área de concessão;Infraestrutura;Eletricidade, gás e outras utilidades
08/01/2025;CPFL Paulista;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Expansão Sistema , modernização e manutenção sistema de distribuição de energia elétrica para no período entre 2025 e 2029  (complemento da ficha 7070);Infraestrutura;Eletricidade, gás e outras utilidades
30/05/2025;Hospital Amaral Carvalho - HAC;Jaú;RA Bauru;Inauguração centro cirúrgico onde serão realizados os transplantes Hepáticos;Serviços;Atividades de atenção à saúde humana
23/05/2025;Santa Casa de Franca;Franca;RA Franca;Implantação leitos novas unidades de terapia intensiva contam com equipamentos de última geração, incluindo ventiladores pulmonares, marcapassos cardíacos;Serviços;Atividades de atenção à saúde humana
20/05/2025;Boa Vista Village;Porto Feliz;RA Sorocaba;Instalação unidade JHSF anunciou um acordo para instalar uma unidade do Colégio Visconde de Porto Seguro, de São Paulo, no Boa Vista Village expansão do complexo Boa Vista;Serviços;Atividades imobiliárias
02/05/2025;Roblox;São Paulo;RM São Paulo;Construção data center é uma plataforma de criação de jogos MMO e sandbox;Serviços;Atividades esportivas e de recreação e lazer
02/05/2025;Claro, USP e Fapesp;São Paulo;RM São Paulo;Criação Centro de pesquisa para desenvolvimento de sistemas voltados para tecnologias emergentes de 5G inteligência artificial generativa;Serviços;Pesquisa e desenvolvimento científico
23/04/2025;Hospital Beneficência Portuguesa de Bauru;Bauru;RA Bauru;Inauguração aparelho de ressonância magnética com uso de inteligência artificial (IA) tecnologia inédita no Brasil , para exame e serviços de diagnósticos por imagem;Serviços;Atividades de atenção à saúde humana
14/04/2025;Hospital de Base São José do Rio Preto;São José do Rio Preto;RA São José do Rio Preto;Inauguração sala de radiologia;Serviços;Atividades de atenção à saúde humana
14/04/2025;Universidade de Taubaté - Unitau;Taubaté;RA São José dos Campos;Instalação ambulatório  Escola, para que o estudante tenha um espaço de atendimento, que vai receber a comunidade, uma condição melhor para o hospital;Serviços;Atividades de atenção à saúde humana
07/04/2025;Faculdade Sírio-Libanês;São Paulo;RM São Paulo;Instalação curso de graduação em medicina na rua Martiniano de Carvalho;Serviços;Educação
04/04/2025;Termas Pacu Parque Aquático & Pesca;Mineiros do Tietê;RA Bauru;Inauguração equipamento a Praia com Piscina de Ondas;Serviços;Atividades esportivas e de recreação e lazer
04/04/2025;Hospital São Luiz Itaim;São Paulo;RM São Paulo;Inauguração clínica de Hemodiálise e Nefrologia D Or, centro especializado para atendimento a pacientes com problemas renais;Serviços;Atividades de atenção à saúde humana
28/03/2025;Shops Faria Lima;São Paulo;RM São Paulo;Instalação Centro comercial de 10 mil metros quadrados com restaurantes, cinema, academia e lojas na esquina da Faria Lima com a Rua Leopoldo Couto Magalhães;Serviços;Atividades imobiliárias
23/03/2025;Santa Casa de Franca;Franca;RA Franca;Revitalização sala Pré-Cirúrgica do Hospital Geral;Serviços;Atividades de atenção à saúde humana
20/03/2025;Sky Galleria;Campinas;RA Campinas;Construção prédio comercial de escritórios colado no Shopping Galleria;Serviços;Atividades imobiliárias
19/03/2025;Hampton by Hilton Serramar;Caraguatatuba;RA São José dos Campos;Inauguração hotel dentro do estacionamento do Serramar Shopping;Serviços;Alojamento
18/03/2025;Fundação Dom Cabral - FDC;São Paulo;RM São Paulo;Inauguração escola de negócios brasileira com padrão e atuação internacionais de desenvolvimento e capacitação;Serviços;Educação
14/03/2025;Henkel;Jundiaí;RA Campinas;Inauguração Centro  integrado de inovação e tecnologia da empresa de poliuretanos ;Serviços;Pesquisa e desenvolvimento científico
28/02/2025;Santa Casa de Pedregulho;Pedregulho;RA Franca;Reinauguração hospital com uma nova ala de internação e reforma de 15 quartos na ala clínica;Serviços;Atividades de atenção à saúde humana
22/02/2025;Cimed;São Paulo;RM São Paulo;Desenvolvimento pesquisa e desenvolvimentos (P&D) de produtos infantis entre famílias que acabam adotando precocemente cosméticos para adultos devido aos altos preços dos itens próprios para crianças da fábrica de medicamentos;Serviços;Pesquisa e desenvolvimento científico
21/02/2025;BTG Pactual Hall;São Paulo;RM São Paulo;Reinauguração teatro com as novidades tecnológicas do espaço, haverá sistemas como inteligência artificial para atendimento aos clientes e refletores que seguem automaticamente os artistas ;Serviços;Atividades artísticas, criativas e de espetáculos
21/02/2025;Hospital Israelita Albert Einstein;São Paulo;RM São Paulo;Inauguração unidade de saúde mental e bem-estar;Serviços;Atividades de atenção à saúde humana
20/02/2025;Shopping Center Iguatemi;São Paulo;RM São Paulo;Expansão Shopping Center e inauguração de um teatro, novas lojas, restaurantes e um rooftop ;Serviços;Atividades imobiliárias
