codigo;data_publicacao;titulo;palavra;fonte;url;palavras;meio;data_investimento
2525764;12/04/2025 00:00;Clínica Santé Institut é inaugurada em Bauru;inaugura, inauguração;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2896632/gente_negocios__propaganda/2025/04/clinica-sante-institut-e-inaugurada-em-bauru;inaugura, inauguração;Portais;17/04/2025 11:36
2526544;14/04/2025 00:00;Hospital de Base de Rio Preto inaugura nova sala de radiologia;inaugura;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/cidades/saude/hospital-de-base-de-rio-preto-inaugura-nova-sala-de-radiologia-1.2053456;inaugura;Portais;17/04/2025 11:46
2526545;14/04/2025 00:00;HB inaugura nova sala de radiologia;inaugura;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/cidades/saude/hb-inaugura-nova-sala-de-radiologia-1.2053456;inaugura;Portais;17/04/2025 11:47
2526897;15/04/2025 00:00;Porto de Santos é o primeiro do Brasil a adotar caminhões a gás;adquirir, ampliação, implantação, investimentos;Estadão;https://estradao.estadao.com.br/caminhoes/porto-de-santos-e-o-primeiro-do-brasil-a-adotar-caminhoes-a-gas/;adquirir, ampliação, implantação, investimentos;Portais;17/04/2025 14:27
2529099;22/04/2025 00:00;Editora Joaquina nasce de olho na literatura e longe das cartilhas escolares;construção;Folha de S. Paulo;https://www1.folha.uol.com.br/blogs/era-outra-vez/2025/04/editora-joaquina-nasce-de-olho-na-literatura-e-longe-das-cartilhas-escolares.shtml;construção, inaugura;Portais;22/04/2025 15:01
2529356;22/04/2025 00:00;H&M abrirá loja no Morumbi Shopping no segundo semestre deste ano;compra, expandir, expansão, inaugura, inauguração, abrir;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/agencia/h-m-abrira-loja-no-morumbi-shopping-no-segundo-semestre-deste-ano-1.2055462;compra, expandir, expansão, inaugura, inauguração, abrir;Portais;23/04/2025 09:40
2529346;22/04/2025 00:00;H&M abrirá loja no Morumbi Shopping no segundo semestre deste ano;compra, expandir, expansão, inaugura, inauguração, abrir;Estadão;https://www.estadao.com.br/economia/hm-abrira-loja-morumbi-shopping-segundo-semestre-deste-ano-2025-nprei/;compra, expandir, expansão, inaugura, inauguração, abrir;Portais;23/04/2025 09:40
2529323;22/04/2025 00:00;JBS multiplica frota de caminhões elétricos e evita emissão de 5,2 mil toneladas de CO?;ampliação, investir;Estadão;https://estradao.estadao.com.br/caminhoes/jbs-multiplica-frota-de-caminhoes-eletricos-e-evita-emissao-de/;ampliação, investir;Portais;23/04/2025 09:55
2526488;14/04/2025 00:00;Unitau irá investir R$ 4,5 milhões em melhorias para o HMUT;investimentos;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2897028/sessao-extra/2025/04/unitau-ira-investir-r-45-milhoes-em-melhorias-para-o-hmut;investimentos;Portais;23/04/2025 10:14
2526404;14/04/2025 00:00;"Aeroporto do Guarujá conclui 1ª etapa de obras; modernização via PAC será finalizada em 2026";ampliação, investimento, investimentos, concessão, reforma;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/agencia/aeroporto-do-guaruja-conclui-1-etapa-de-obras-modernizac-o-via-pac-sera-finalizada-em-2026-1.2053337;ampliação, investimento, investimentos, concessão, reforma;Portais;23/04/2025 10:25
2528346;19/04/2025 00:00;Coleção de móveis soltos marca novo segmento de atuação da Bontempo;construir;Estadão;https://www.estadao.com.br/economia/negocios/colecao-de-moveis-soltos-marca-novo-segmento-de-atuacao-da-bontempo/;construir, inaugura, inauguração, investimento;Portais;23/04/2025 10:37
2531496;28/04/2025 00:00;Shopping investe R$ 30 mi para abrir loja em SJC com 200 empregos;inaugura, investimento;O Vale;https://sampi.net.br/ovale/noticias/2899745/vale-do-paraiba/2025/04/shopping-investe-r-30-mi-para-abrir-loja-em-sjc-com-200-empregos;inaugura, investimento;Portais;29/04/2025 10:11
2531495;28/04/2025 00:00;Shopping investe R$ 30 mi para abrir loja em SJC com 200 empregos;inaugura, investimento;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2899745/vale-do-paraiba/2025/04/shopping-investe-r-30-mi-para-abrir-loja-em-sjc-com-200-empregos;inaugura, investimento;Portais;29/04/2025 10:11
2531490;28/04/2025 13:42;Shopping investe R$ 30 bi para abrir loja em SJC com 200 empregos;inaugura;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2899745/vale-do-paraiba/2025/04/shopping-investe-r-30-bi-para-abrir-loja-em-sjc-com-200-empregos;inaugura, investimento;Portais;29/04/2025 10:11
2531491;28/04/2025 13:42;Shopping investe R$ 30 bi para abrir loja em SJC com 200 empregos;inaugura;O Vale;https://sampi.net.br/ovale/noticias/2899745/economia/2025/04/shopping-investe-r-30-bi-para-abrir-loja-em-sjc-com-200-empregos;inaugura, investimento;Portais;29/04/2025 10:11
2530633;26/04/2025 00:00;B3S Investimentos nasce em Prudente com presença de gigantes do mercado financeiro;inaugura, inauguração, investimento, investimentos, invest;O Imparcial Online;https://www.imparcial.com.br/noticias/b3s-investimentos-nasce-em-prudente-com-presenca-de-gigantes-do-mercado-financeiro,72467;inaugura, inauguração, investimento, investimentos, invest;Portais;12/05/2025 08:23
2530671;26/04/2025 00:00;Beviconsórcio: um novo espaço e uma nova era!;aquisição, expansão, investir;O Imparcial Online;https://www.imparcial.com.br/noticias/beviconsorcio-um-novo-espaco-e-uma-nova-era,72475;aquisição, expansão, investir;Portais;12/05/2025 08:24
2529674;23/04/2025 00:00;Beneficência inaugura ressonância com IA e alta precisão;inaugurou;O Vale;https://sampi.net.br/ovale/noticias/2898796/checkin/2025/04/beneficencia-inaugura-ressonancia-com-ia-e-alta-precisao;inaugurou;Portais;12/05/2025 10:21
2530488;25/04/2025 00:00;Leroy Merlin inaugura sua primeira loja em Bauru neste sábado;ampliar, compra, construir, inaugura, instalação, investimento;O Vale;https://sampi.net.br/ovale/noticias/2899236/bauru-e-regiao/2025/04/leroy-merlin-inaugura-sua-primeira-loja-em-bauru-neste-sabado;ampliar, compra, construir, inaugura, instalação, investimento;Portais;12/05/2025 10:22
2530880;26/04/2025 00:00;Leroy Merlin chega a Bauru com soluções para casa e construção;compra, construir, inaugura, inauguração, instalação;O Vale;https://sampi.net.br/ovale/noticias/2899460/gente_negocios__propaganda/2025/04/leroy-merlin-chega-a-bauru-com-solucoes-para-casa-e-construcao;compra, construir, inaugura, inauguração, instalação;Portais;12/05/2025 10:25
2530879;26/04/2025 11:04;Beneficência inaugura setor de Ressonância Magnética;ampliação;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2899461/gente_negocios__propaganda/2025/04/beneficencia-inaugura-setor-de-ressonancia-magnetica;ampliação, aquisição, expansão, inaugura, inauguração, inaugurou, inovação, investimentos;Portais;12/05/2025 10:35
2529673;23/04/2025 00:00;Beneficência inaugura ressonância com IA e alta precisão;inaugurou;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2898796/checkin/2025/04/beneficencia-inaugura-ressonancia-com-ia-e-alta-precisao;inaugurou;Portais;12/05/2025 10:38
2529702;23/04/2025 00:00;Beneficência Portuguesa inaugura ressonância com uso de IA;aquisição, inaugurou, inovação, investimento;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2898819/bauru-e-regiao/2025/04/beneficencia-portuguesa-inaugura-ressonancia-com-uso-de-ia;aquisição, inaugurou, inovação, investimento;Portais;12/05/2025 10:38
2531102;27/04/2025 00:00;BYD apresenta projeto para implantação de transporte público;construção, implantação;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2899574/jundiai/2025/04/byd-apresenta-projeto-para-implantacao-de-transporte-publico;construção, implantação;Portais;12/05/2025 10:39
2531693;28/04/2025 00:00;Trela abre CD na Lapa, mas não quer armazenar nada;ampliar, compra;Pipeline Valor Online;https://pipelinevalor.globo.com/startups/noticia/trela-abre-cd-na-lapa-mas-nao-quer-armazenar-nada.ghtml;ampliar, compra;Portais;12/05/2025 11:08
2531670;28/04/2025 00:00;Com a casa arrumada, Madero volta a acelerar abertura de restaurantes;abertura, compra, expansão, abrir;Pipeline Valor Online;https://pipelinevalor.globo.com/negocios/noticia/com-a-casa-arrumada-madero-volta-a-acelerar-abertura-de-restaurantes.ghtml;abertura, compra, expansão, abrir;Portais;12/05/2025 11:10
